	Dash	Figshare	Zenodo	Dataverse	PURR	ScholarSphere
Search box	Moves from center-left to upper right on transition to SERP; subsequently consistent. Paceholder text ("Search datasets...") on SERP page, not on initial page. Placeholder text rather than the query on SERP page; 'clear search' text under icon. Button text: "Go!"	Top-center bar with placeholder text, magnifying glass button, doesn't move. On SERP page, a second, larger bar appears below, with the query text, "Search" button.  	Top-left bar; button has magnifying glass and "Search"	Top-center bar w/ placeholder "Search this Dataverse Network". On SERP: top-right bar w/ placeholder "Search Studies", button labeled "Search"	Top-left bar w/ placeholder "Search" and magnifying glass.	Top-right with placeholder "Enter search terms," magnifying glass & "Go" Dropdown scope menu, but only option is "All of ScholarSphere." Stays in place on SERP page
Scoped / fielded search	no	in advanced search, can select from a radio-button menu w/ 4 fields ("articles, authors, categories, tags")	no	in advanced search	no	no
Restricted search	no	in advanced search	no	in advanced search	no	Dropdown scope menu, but only option is "All of ScholarSphere."
Search within	no	no	no	no	no	no
Advanced search	no	link adjacent to search box drops down advanced options; changes to "Hide filters"	no	Separate screen with 4 user-specified and 2 fixed fields. Each of the 4 has a contains/does not contain switch.	no	no
Auto-complete	no	no	no	no	no	no
Auto-suggest	no	no	no	no	no	no
Auto-correct	no	no	no	no	no	no
Partial matching		no	no	no	yes	no
Related searches	no	no	no	no	yes, as a set of tags accross the top of the results. Five visible at first, with a "show more..." tag	no
Facet selection	Three facets: Publisher, Author, Keyword.	One facet: Object type	Four facets: Collection, Author, Access right, FP7 project	Nine facets: Original Dataverse, Author, Author Affiliation, Country, Distributor, Production Date, Distribution Date, Keywork, Toic Classification	Hierarchy; "All categories" at the top, with things like Content, Citations, Publications underneath	Ten facets: resource type, collection, creator, keyword, subject, language, location, publisher, file format, object type.
Layout	Vertical left; all 3 always displayed	Horizontal top as part of advanced search	Vertical left; all 4 always displayed. Selecting "Publications" under Collection opens up lower-level items (Journal articles, Reports, Theses...)	Vertical left	Vertical right	Vertical left
State	Open	Open	Open	Open	Open	Closed
